,category,trait,count,rarity_score
0,Backgrounds,Orange,1567,15.38426474610265
1,Backgrounds,Pink,1551,15.542967670627243
2,Backgrounds,Blue,1528,15.776925953627522
3,Backgrounds,Purple,1518,15.880858272162618
4,Backgrounds,Green,1500,16.07142857142857
5,Backgrounds,Yellow,1461,16.500440011733644
6,Backgrounds,Light,528,45.65746753246752
7,Backgrounds,Dark,337,71.53454853751589
8,Character,Noob,3076,3.68808121428025
9,Character,OG,2300,4.9324077457069775
10,Character,Animals,1200,9.453781512605042
11,Character,Trollz,600,18.907563025210084
12,Character,Champs,495,22.918258212375857
13,Character,Robo,374,30.332988810497458
14,Character,Zombi,330,34.37738731856379
15,Character,Night Panthers,300,37.81512605042017
16,Character,Spooks,280,40.516206482593034
17,Character,Floaties,250,45.3781512605042
18,Character,Digipet,220,51.56608097784568
19,Character,Aliem,180,63.02521008403361
20,Character,Rainbow,160,70.90336134453781
21,Character,Mystik,140,81.03241296518607
22,Character,Blurry,55,206.26432391138272
23,Character,Glow,30,378.1512605042016
24,Character,The Naughty Ones,8,1418.0672268907563
25,Clothes,Colored Shirt,1215,3.9682539682539675
26,Clothes,Suprim Hoodie,1106,4.359338672177731
27,Clothes,Heart Shirt,767,6.28608679456137
28,Clothes,Lightning Shirt,730,6.604696673189823
29,Clothes,Baseball Jacket,492,9.799651567944249
30,Clothes,Skeleton Hoodie,474,10.171790235081373
31,Clothes,On White Hoodie,473,10.193295077016007
32,Clothes,Gadget Chest,358,13.467677573822822
33,Clothes,Rainbow Shirt,325,14.835164835164834
34,Clothes,Haori Hakama,291,16.568483063328422
35,Clothes,Jewel Shirt,279,17.281105990783406
36,Clothes,Bowtie Shirt,266,18.125671321160038
37,Clothes,Bomb Shirt,264,18.262987012987008
38,Clothes,Coin Shirt,264,18.262987012987008
39,Clothes,Camo Shirt,255,18.90756302521008
40,Clothes,Four Leaf Clover Shirt,249,19.363166953528395
41,Clothes,Pattern,185,26.061776061776058
42,Clothes,Gukki Hoodie,152,31.71992481203007
43,Clothes,Biker Jacket,111,43.436293436293425
44,Clothes,Wild West Jacket,98,49.198250728862966
45,Clothes,Saiyan Shirt,85,56.72268907563024
46,Clothes,Phoenix Shirt,78,61.8131868131868
47,Clothes,Patterned Shirt,71,67.90744466800803
48,Clothes,Civilian Garment,70,68.87755102040815
49,Clothes,Bandana Outfit,68,70.9033613445378
50,Clothes,Bling Bling,68,70.9033613445378
51,Clothes,Plaid Shirt,62,77.76497695852532
52,Clothes,Hero Cape,54,89.28571428571428
53,Clothes,Space Invaders Shirt,44,109.57792207792207
54,Clothes,Warrior Robe,38,126.87969924812028
55,Clothes,House of Wizards,32,150.66964285714283
56,Clothes,Wen moon Suit,27,178.57142857142856
57,Clothes,The littles hoodie,26,185.4395604395604
58,Clothes,Striped Shell,21,229.59183673469386
59,Clothes,Neon Fade Shell,17,283.6134453781512
60,Clothes,Jet Pack,16,301.33928571428567
61,Clothes,Sparkly Shell,12,401.7857142857142
62,Clothes,Mythical Cape,9,535.7142857142857
63,Clothes,Ripped Disguise,6,803.5714285714284
64,Clothes,Old School Game Boy,4,1205.3571428571427
65,Eye Combinations,Baby,995,13.844733873448877
66,Eye Combinations,Standard,966,14.260362530105208
67,Eye Combinations,Closed,961,14.334557964705132
68,Eye Combinations,Shocked,956,14.40952950217744
69,Eye Combinations,Happy,911,15.121306480879946
70,Eye Combinations,Confused,883,15.600804308133219
71,Eye Combinations,Scar,432,31.887755102040813
72,Eye Combinations,Angry,371,37.13075526706639
73,Eye Combinations,Alien,343,40.161837329684055
74,Eye Combinations,Cyberpunk,338,40.75594734935394
75,Eye Combinations,Adorable,332,41.492500614703715
76,Eye Combinations,Cute,332,41.492500614703715
77,Eye Combinations,Sad,326,42.256166270189055
78,Eye Combinations,Laser,167,82.48808505438103
79,Face Accessories,Scientist Glasses,665,26.364612830778242
80,Face Accessories,Eyepatch,659,26.604654829237525
81,Face Accessories,Nerd Glasses,586,29.918886574176675
82,Face Accessories,Futuristic Shades,247,70.98164992901835
83,Face Accessories,Pilot Goggles,242,72.44821294408071
84,Face Accessories,Pixel Shades,219,80.05692937199785
85,Face Accessories,Heart Glasses,202,86.79439372508679
86,Face Accessories,Rainbow Shades,181,96.86446150534547
87,Face Accessories,3D Glasses,179,97.94674599143872
88,Face Accessories,Cyberpunk Shades,157,111.67176772272312
89,Face Accessories,Noun Dao Glasses,117,149.85014985014982
90,Head,Troll Hair,618,10.402219140083217
91,Head,Beanie,254,25.30933633295838
92,Head,Troll Mohawk,249,25.817555938037867
93,Head,Military Hat,237,27.124773960217
94,Head,Snapback,199,32.30437903804738
95,Head,Ninja Headband,197,32.63234227701233
96,Head,Reverse Snapback,191,33.657442034405385
97,Head,Short Mohawk,188,34.19452887537994
98,Head,Party Hat,141,45.59270516717325
99,Head,Cowboy Hat,97,66.2739322533137
100,Head,Gadget Head,96,66.96428571428572
101,Head,Top Hat,91,70.6436420722135
102,Head,Ear Piercing,82,78.397212543554
103,Head,Bandana,78,82.41758241758241
104,Head,Spikey,77,83.48794063079777
105,Head,Antennae,60,107.14285714285714
106,Head,Royal Crown,56,114.79591836734694
107,Head,Angelic Halo,38,169.17293233082705
108,Head,Propeller Hat,33,194.8051948051948
109,Head,Pilot Cap,30,214.28571428571428
110,Head,Big Mohawk,29,221.67487684729065
111,Head,Rudolf Antlers,29,221.67487684729065
112,Head,Fedora,28,229.59183673469389
113,Head,Bunny Ears,27,238.0952380952381
114,Head,Mushroom Cap,21,306.12244897959187
115,Head,Beast Tamer Hat,10,642.8571428571429
116,Head,Daisy Balloon,10,642.8571428571429
117,Head,Spirit Mask,7,918.3673469387755
118,Head,Peryton Mask,5,1285.7142857142858
119,Head,Ancient Creature Hat,4,1607.142857142857
120,Mouth Features,Bored,979,13.13293448124909
121,Mouth Features,Smug,840,15.306122448979592
122,Mouth Features,Oh,838,15.342652574156153
123,Mouth Features,Happy,824,15.603328710124828
124,Mouth Features,Standard,811,15.853443720274793
125,Mouth Features,Shocked,784,16.399416909620992
126,Mouth Features,Sad,743,17.304364545279753
127,Mouth Features,Goofy,730,17.61252446183953
128,Mouth Features,Drooling,726,17.70956316410862
129,Mouth Features,Face Mask,290,44.33497536945813
130,Mouth Features,Rainbow Smile,287,44.79840716774515
131,Mouth Features,Pink Bubblegum,220,58.44155844155844
132,Mouth Features,Chocolate Bar,209,61.51742993848257
133,Mouth Features,Fire Breath,133,96.67024704618689
134,Mouth Features,Rainbow Beam,94,136.77811550151975
